horizon,feature,abs_attribution
1,adx_14,0.0002745597948629356
1,atr_14,0.0004608197645707564
1,bollinger_width_20,0.00022148977834810714
1,cpi,0.013608642959628593
1,garman_klass,0.00024868050430561857
1,gold_close,0.005710792731737125
1,macd,0.0002600719500843628
1,parkinson,0.0002898299439224998
1,ret_spx_abs,7.197510244209711e-05
1,roc_10,0.00027447364835676456
1,rogers_satchell,9.40529717661837e-05
1,rsi_14,0.00020672872662172185
1,rv_diaria,5.868149276011536e-05
1,rv_yz_22,0.00018107510930966762
1,spy_volume,0.00016809651236309782
1,stress_index,0.0005795976318371355
1,true_range,0.0002752403011899415
1,vix,0.00015539846403746858
1,vix_term_spread,0.00012400549946340271
1,volume_medio_22d,0.0018885442987084389
1,yield_slope,0.0007394932443234707
22,adx_14,0.00024280837988044368
22,atr_14,0.0006844480946959018
22,bollinger_width_20,0.00025910647111066447
22,cpi,0.017823675583878703
22,garman_klass,0.0002918379736911447
22,gold_close,0.0071665994943363
22,macd,0.00035169413285984774
22,parkinson,0.00026567898188742134
22,ret_spx_abs,0.00028486693281593034
22,roc_10,0.00018006573315109233
22,rogers_satchell,0.0003039147849945452
22,rsi_14,0.00016673615916509087
22,rv_diaria,0.0001269193932619766
22,rv_yz_22,9.430007026945863e-05
22,spy_volume,0.0007805012726087377
22,stress_index,0.0013067946276185633
22,true_range,0.0004556751923907789
22,vix,0.00025605273339124324
22,vix_term_spread,0.00038568360048429895
22,volume_medio_22d,0.0016043599017311035
22,yield_slope,0.0007874162051435137
