horizon,lag,abs_attribution
1,0.0,0.0024405679870098886
1,1.0,0.001705581229522241
1,2.0,0.0005490593389800953
1,3.0,0.0014870741597426168
1,4.0,0.0015777334843189042
1,5.0,0.0007583102338263156
1,6.0,0.0011517484690449194
1,7.0,0.001880071433054993
1,8.0,0.0011149785695763405
1,9.0,0.0014245641033907997
1,10.0,0.001615508938238279
1,11.0,0.0015446078868232387
1,12.0,0.0017546130964633665
1,13.0,0.0009904860340135375
1,14.0,0.0015688744007916068
1,15.0,0.0015328485706482926
1,16.0,0.0006388953512062775
1,17.0,0.0004840618711179039
1,18.0,0.0007361942117270138
1,19.0,0.000495242436002064
1,20.0,0.00045413210312701614
1,21.0,0.0012200608282347232
22,0.0,0.0024719682993842675
22,1.0,0.0022422248976216082
22,2.0,0.0018623721648293127
22,3.0,0.0005866939638313592
22,4.0,0.0011676022558103362
22,5.0,0.0007208278995156954
22,6.0,0.002123619087320722
22,7.0,0.000962302049845762
22,8.0,0.0026374981750580317
22,9.0,0.0027971834631119108
22,10.0,0.000705638469401579
22,11.0,0.0008699269737917348
22,12.0,0.0012446766420994425
22,13.0,0.0009791215469314401
22,14.0,0.0008916058258840902
22,15.0,0.002114620912509833
22,16.0,0.0021873074806318896
22,17.0,0.0016123809698564444
22,18.0,0.002113928530867443
22,19.0,0.0020797497488621005
22,20.0,0.001742515357320718
22,21.0,0.0013158060391365975
