feature,f_score_h22,pvalue_h22,abs_corr_h22,missing_rate_train,variance_train,rank,selected
atr_14,1935.1024436559135,1.0920529201168782e-296,0.7002736788519405,0.0,71.5507746813474,1,True
vix_term_spread,1706.0007626619772,1.4830643984599304e-270,0.6774750183512009,0.0,5.919182343085884,2,True
stress_index,1591.3629181355082,7.235347977602146e-257,0.6646467496433733,0.0,2.845457646916812,3,True
vix,1583.6651774795625,6.225511366717351e-256,0.6637468322016192,0.0,109.9168513734251,4,True
parkinson,1289.321126858107,1.3381971242169631e-218,0.6250322837043596,0.0,1.0777628760170165e-07,5,True
volume_medio_22d,1275.8045479594484,8.318344607761226e-217,0.6230245115514422,0.0,8674341278475134.0,6,True
spy_volume,1171.734207026017,9.590898681731154e-203,0.6067564035147855,0.0,1.2307541430216688e+16,7,True
true_range,1149.0485356481493,1.2830667149114602e-199,0.6030069397451724,0.0,148.53020961470267,8,True
bollinger_width_20,1107.8471423461494,6.98756412040941e-194,0.595995356162254,0.0,0.0026426547713752063,9,True
garman_klass,987.7261205672448,1.0274814008141277e-176,0.573918029397017,0.0,8.729228356580418e-08,10,True
macd,903.735609829696,2.693735079779311e-164,0.556828062244616,0.0,225.56983778394914,11,True
baa,698.7521562083294,2.0607169383381462e-132,0.507804792455674,0.0,0.9947429116603965,12,True
ret_spx_abs,689.7101210282906,5.966162772085986e-131,0.5053523778262945,0.0,0.00011611349142064215,13,True
baa_aaa_spread,662.3390829263863,1.700224949493734e-126,0.4977521761244123,0.0,0.3293809475863455,14,True
rv_diaria,650.706462609617,1.3730943507619468e-124,0.4944387279991855,0.0,4.414251486976508e-07,15,True
rogers_satchell,646.3411733678895,7.170743953065542e-124,0.4931820401784565,0.0,1.0314616497546272e-07,16,True
ukx_close,542.6246086161013,1.862649797277205e-106,0.4609684641309133,0.0,458181.57329780754,17,True
spx_low,368.1083822781413,1.7805744975630667e-75,0.3933514359467877,0.0,49063.87407783208,18,True
roc_10,322.5746602846118,5.170807853141537e-67,0.37179562426196794,0.0,0.0012892885382583983,19,True
indu_close,307.73572968452186,3.221209838556957e-64,0.36430349220945296,0.0,3591388.121453245,20,True
ndx_close,264.80267941852196,4.984884781312613e-56,0.3411095554537804,0.0,282728.9753693272,21,False
rsi_14,247.73983835250903,9.925268923410683e-53,0.33118054695566324,0.0,126.24857452786478,22,False
obv,175.30959109802328,1.9790434261426003e-38,0.28316984845945603,0.0,8.220419937003309e+18,23,False
aaa,174.35992131579556,3.070797090620113e-38,0.28246318067280884,0.0,0.5521514290247973,24,False
adx_14,130.86564184944473,2.1045750354660842e-29,0.24718192359957963,0.0,56.676870129515706,25,False
yield_slope,124.39816484329984,4.507442320826769e-28,0.24136125435706385,0.0,1.5396714786962957,26,False
nky_close,113.54786227361647,7.885606040127568e-26,0.2311831736933482,0.0,10007171.957347002,27,False
epu,68.24521621593533,2.585837120493317e-16,0.18116873484922846,0.0,5362.07875432807,28,False
ust_3m,41.84885413708124,1.2348208772983344e-10,0.14277865885807853,0.0,3.8631096065810047,29,False
gold_close,39.61591218012862,3.7844466351654136e-10,0.13899291674124054,0.0,149962.55247677135,30,False
ret_ndx_log,37.17989949767821,1.2880977407466176e-09,0.13473178260668126,0.0,0.00022021357664836917,31,False
ret_spx_log,36.35807969462021,1.9486471096426688e-09,0.1332611526075262,0.0,0.0001958853614183133,32,False
ret_indu_simple,26.63504339328476,2.6994094594731226e-07,0.11433086882682801,0.0,0.00016269291221706312,33,False
ret_nky_log,24.31952956848523,8.830316706587199e-07,0.10931035002893133,0.0,0.00027766258941956884,34,False
ret_ukx_log,24.173650141819103,9.516487734086716e-07,0.1089859164933812,0.0,0.00017294022009080865,35,False
fed_funds,22.27107494801645,2.5305664677469848e-06,0.10465812466223098,0.007451564828614009,4.3953888963288,36,False
wti_close,17.93754749632395,2.3856940871145642e-05,0.09402583359347776,0.0,372.4635225588074,37,False
ret_wti_simple,13.902938650730146,0.00019782212136872128,0.08286119606447251,0.0,0.0005763129216808889,38,False
ret_dxy_simple,11.305092012295876,0.0007874288158809016,0.07476764696013534,0.0,2.8455311810617847e-05,39,False
industrial_production,6.090497389474155,0.013673766547967803,0.05494949291083731,0.0,22.40248004225387,40,False
unemployment,5.485481238936988,0.019272139229529216,0.05215666540229015,0.0,3.9172242174500416,41,False
ret_nky_simple,3.026200505082007,0.08208266293592666,0.038762902757402365,0.0561351217088922,0.04727610349957455,42,False
dxy,0.8720269045454063,0.3505068940208129,0.020819234937349333,0.0,17.163472859660082,43,False
ust_10y,0.6419292857979839,0.42310768861319215,0.017863569955886113,0.0,1.114785532868922,44,False
ret_gold_log,0.22429993549041424,0.6358343430625133,0.010560496100801566,0.0,0.00018152622481002495,45,False
ret_ukx_simple,0.13291530919245056,0.7154666236385071,0.008129561408671984,0.01838052657724789,0.01708740171031915,46,False
cpi,0.003378975922411946,0.9536516822811943,0.0012962421770899692,0.0,106.02647646575456,47,False
