step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,model,window_id,test_year,seed
20,0.4323263168334961,0.26332428825072945,0.5325993856496863,0.0002907072873736308,0.26332428825072945,True,0,0.001,False,tsmixerx,14,2024,42
40,0.3607599139213562,0.2067071323765819,0.3719798722812714,0.00022561990992515373,0.2067071323765819,True,0,0.001,False,tsmixerx,14,2024,42
60,0.3371652364730835,0.13999033354751386,0.30253770951817005,0.00017430083961648342,0.13999033354751386,True,0,0.001,False,tsmixerx,14,2024,42
80,0.3536805212497711,0.12036538003179427,0.3418266748194778,0.0001665900271850838,0.12036538003179427,True,0,0.001,False,tsmixerx,14,2024,42
100,0.31693676114082336,0.1078156244081217,0.29570349136761376,0.00015666988971810118,0.1078156244081217,True,0,0.001,False,tsmixerx,14,2024,42
120,0.29090869426727295,0.11400688213290495,0.3081854599344647,0.00016660857708646488,0.1078156244081217,False,1,0.001,False,tsmixerx,14,2024,42
140,0.2959864139556885,0.11590802274633133,0.3074199463465708,0.00019138179760747116,0.1078156244081217,False,2,0.001,False,tsmixerx,14,2024,42
160,0.2714311480522156,0.10621410286208316,0.20225630033475095,0.00016485957203113148,0.10621410286208316,True,0,0.001,False,tsmixerx,14,2024,42
180,0.268949031829834,0.12196106475956787,0.27573747520289665,0.00017191847291726876,0.10621410286208316,False,1,0.001,False,tsmixerx,14,2024,42
200,0.2192811816930771,0.12611859988479954,0.3201781522042926,0.00017199825801406923,0.10621410286208316,False,2,0.001,False,tsmixerx,14,2024,42
220,0.2512179911136627,0.11241207948759717,0.25188155398834206,0.00017931445231999312,0.10621410286208316,False,3,0.001,False,tsmixerx,14,2024,42
240,0.21694834530353546,0.13029216866600146,0.2576422369819811,0.00022388114191433778,0.10621410286208316,False,4,0.001,False,tsmixerx,14,2024,42
260,0.20593306422233582,0.13059043030035994,0.2659067112725438,0.00020094917168973872,0.10621410286208316,False,5,0.001,False,tsmixerx,14,2024,42
280,0.253932386636734,0.11855882636748163,0.2685783906747754,0.0001716007296525411,0.10621410286208316,False,6,0.001,False,tsmixerx,14,2024,42
300,0.22745203971862793,0.11579630466137888,0.23405124521741225,0.00018396062603478298,0.10621410286208316,False,7,0.001,False,tsmixerx,14,2024,42
320,0.21480673551559448,0.1351460985427161,0.2953357380979354,0.00019437687147038775,0.10621410286208316,False,8,0.001,False,tsmixerx,14,2024,42
340,0.19982780516147614,0.15463369994809964,0.3219414800767123,0.0002143054730776486,0.10621410286208316,False,9,0.001,False,tsmixerx,14,2024,42
360,0.20282897353172302,0.1718206437791128,0.3484995035097637,0.0002209080251175406,0.10621410286208316,False,10,0.001,True,tsmixerx,14,2024,42
