model,variant,seed,window_id,date,y,y_hat
TSMixerX,vix3m_2007_plus,42,0,2018-01-05,0.010372835047321756,0.006410869769752026
TSMixerX,vix3m_2007_plus,42,0,2018-02-07,0.07610051443692939,0.026647798717021942
TSMixerX,vix3m_2007_plus,42,0,2018-03-12,0.03893278889192598,0.017838995903730392
TSMixerX,vix3m_2007_plus,42,0,2018-04-12,0.034683365120168494,0.031153332442045212
TSMixerX,vix3m_2007_plus,42,0,2018-05-14,0.014105843287803165,0.008776534348726273
TSMixerX,vix3m_2007_plus,42,0,2018-06-14,0.011504083849649321,0.003760318271815777
TSMixerX,vix3m_2007_plus,42,0,2018-07-17,0.010979873593479463,0.009943974204361439
TSMixerX,vix3m_2007_plus,42,0,2018-08-16,0.006202678775034051,0.005900206975638866
TSMixerX,vix3m_2007_plus,42,0,2018-09-18,0.010446847330206841,0.0033268071711063385
TSMixerX,vix3m_2007_plus,42,0,2018-10-18,0.047184398802718026,0.03410328924655914
TSMixerX,vix3m_2007_plus,42,0,2018-11-19,0.0635085315724277,0.02836880460381508
TSMixerX,vix3m_2007_plus,42,0,2018-12-21,0.07978025126287032,0.03705975413322449
TSMixerX,vix3m_2007_plus,42,1,2019-01-25,0.02025397228946452,0.011715104803442955
TSMixerX,vix3m_2007_plus,42,1,2019-02-27,0.01309299280613508,0.0018908842466771603
TSMixerX,vix3m_2007_plus,42,1,2019-03-29,0.010772896703254506,0.00851996336132288
TSMixerX,vix3m_2007_plus,42,1,2019-05-01,0.014642742733946161,0.004186814185231924
TSMixerX,vix3m_2007_plus,42,1,2019-06-03,0.020772695260990667,0.026036612689495087
TSMixerX,vix3m_2007_plus,42,1,2019-07-03,0.010833928891873833,0.003356556873768568
TSMixerX,vix3m_2007_plus,42,1,2019-08-05,0.03219010995245581,0.02373463287949562
TSMixerX,vix3m_2007_plus,42,1,2019-09-05,0.02481087491538315,0.010139872319996357
TSMixerX,vix3m_2007_plus,42,1,2019-10-07,0.01964096452385402,0.012201089411973953
TSMixerX,vix3m_2007_plus,42,1,2019-11-06,0.006445515725366108,0.003400895744562149
TSMixerX,vix3m_2007_plus,42,1,2019-12-09,0.009865564846825846,0.004589661955833435
TSMixerX,vix3m_2007_plus,42,2,2020-01-10,0.01961982544836508,0.011284468695521355
TSMixerX,vix3m_2007_plus,42,2,2020-02-12,0.11742943282789692,0.014799544587731361
TSMixerX,vix3m_2007_plus,42,2,2020-03-16,0.5110716840766463,0.02182980626821518
TSMixerX,vix3m_2007_plus,42,2,2020-04-16,0.18296913367072884,0.011374257504940033
TSMixerX,vix3m_2007_plus,42,2,2020-05-18,0.07959375840041945,0.008958077989518642
TSMixerX,vix3m_2007_plus,42,2,2020-06-18,0.09647825090074526,0.008225135505199432
TSMixerX,vix3m_2007_plus,42,2,2020-07-21,0.03226017967887539,0.008942481130361557
TSMixerX,vix3m_2007_plus,42,2,2020-08-20,0.028298621850159567,0.012425833381712437
TSMixerX,vix3m_2007_plus,42,2,2020-09-22,0.06656110661288833,0.02340378612279892
TSMixerX,vix3m_2007_plus,42,2,2020-10-22,0.0526541592385736,0.013926754705607891
TSMixerX,vix3m_2007_plus,42,2,2020-11-23,0.025843240135550137,0.027110174298286438
TSMixerX,vix3m_2007_plus,42,2,2020-12-24,0.016170984243923027,0.01284194178879261
TSMixerX,vix3m_2007_plus,42,3,2021-01-28,0.02372744405557065,0.023877138271927834
TSMixerX,vix3m_2007_plus,42,3,2021-03-02,0.02538848063319612,0.022488392889499664
TSMixerX,vix3m_2007_plus,42,3,2021-04-01,0.012391371192771105,0.019837960600852966
TSMixerX,vix3m_2007_plus,42,3,2021-05-04,0.019120549882166465,0.014406631700694561
TSMixerX,vix3m_2007_plus,42,3,2021-06-04,0.01069452072590523,0.017570924013853073
TSMixerX,vix3m_2007_plus,42,3,2021-07-07,0.01224627235436277,0.014517134055495262
TSMixerX,vix3m_2007_plus,42,3,2021-08-06,0.008750775161210941,0.017737945541739464
TSMixerX,vix3m_2007_plus,42,3,2021-09-08,0.011478228210446884,0.016286788508296013
TSMixerX,vix3m_2007_plus,42,3,2021-10-08,0.015560903880422687,0.02523411065340042
TSMixerX,vix3m_2007_plus,42,3,2021-11-09,0.012208944082377382,0.012094158679246902
TSMixerX,vix3m_2007_plus,42,3,2021-12-10,0.033990513496672724,0.025997892022132874
TSMixerX,vix3m_2007_plus,42,4,2022-01-12,0.04090945113050157,0.02105104923248291
TSMixerX,vix3m_2007_plus,42,4,2022-02-14,0.07042922885991215,0.07063973695039749
TSMixerX,vix3m_2007_plus,42,4,2022-03-17,0.05151535585245646,0.07348497956991196
TSMixerX,vix3m_2007_plus,42,4,2022-04-19,0.06142346016096172,0.017622672021389008
TSMixerX,vix3m_2007_plus,42,4,2022-05-19,0.08823982799980758,0.10013942420482635
TSMixerX,vix3m_2007_plus,42,4,2022-06-22,0.07333530362348528,0.08318065851926804
TSMixerX,vix3m_2007_plus,42,4,2022-07-25,0.03564634172490912,0.038766585290431976
TSMixerX,vix3m_2007_plus,42,4,2022-08-24,0.05439508972384091,0.012452571652829647
TSMixerX,vix3m_2007_plus,42,4,2022-09-26,0.08023907962065327,0.07663667947053909
TSMixerX,vix3m_2007_plus,42,4,2022-10-26,0.09375853831009708,0.05380556732416153
TSMixerX,vix3m_2007_plus,42,4,2022-11-28,0.06175305337369092,0.028551846742630005
TSMixerX,vix3m_2007_plus,42,4,2022-12-29,0.03912817763833507,0.02574532851576805
TSMixerX,vix3m_2007_plus,42,5,2023-02-01,0.03478112074169219,0.012081673368811607
TSMixerX,vix3m_2007_plus,42,5,2023-03-06,0.0394710458540811,0.017884770408272743
TSMixerX,vix3m_2007_plus,42,5,2023-04-05,0.02018786563668012,0.03027208335697651
TSMixerX,vix3m_2007_plus,42,5,2023-05-08,0.016310786785118294,0.007945089600980282
TSMixerX,vix3m_2007_plus,42,5,2023-06-08,0.01697993490071261,0.00790898222476244
TSMixerX,vix3m_2007_plus,42,5,2023-07-12,0.011815690152115295,0.011401303112506866
TSMixerX,vix3m_2007_plus,42,5,2023-08-11,0.01860386016842899,0.00914832204580307
TSMixerX,vix3m_2007_plus,42,5,2023-09-13,0.02039207310398654,0.013187581673264503
TSMixerX,vix3m_2007_plus,42,5,2023-10-13,0.022041948770065736,0.022359706461429596
TSMixerX,vix3m_2007_plus,42,5,2023-11-14,0.014564358270281817,0.014456706121563911
TSMixerX,vix3m_2007_plus,42,5,2023-12-15,0.00941458458774614,0.006868172436952591
TSMixerX,vix3m_2007_plus,42,6,2024-01-19,0.011822164980282183,0.030751515179872513
TSMixerX,vix3m_2007_plus,42,6,2024-02-21,0.017341422348473027,0.046067364513874054
TSMixerX,vix3m_2007_plus,42,6,2024-03-22,0.017565152905256985,0.04541885107755661
TSMixerX,vix3m_2007_plus,42,6,2024-04-24,0.024611932288945152,0.05574166402220726
TSMixerX,vix3m_2007_plus,42,6,2024-05-24,0.012055944335016073,0.05392911285161972
TSMixerX,vix3m_2007_plus,42,6,2024-06-27,0.009767464801151165,0.05578184872865677
TSMixerX,vix3m_2007_plus,42,6,2024-07-30,0.07057193764707095,0.05373664200305939
TSMixerX,vix3m_2007_plus,42,6,2024-08-29,0.02714191822068316,0.07236090302467346
TSMixerX,vix3m_2007_plus,42,6,2024-10-01,0.012708614801230976,0.06646944582462311
TSMixerX,vix3m_2007_plus,42,6,2024-10-31,0.02017056718467547,0.06892421096563339
TSMixerX,vix3m_2007_plus,42,6,2024-12-03,0.014146562876227158,0.048867762088775635
TSMixerX,vix3m_2007_plus,42,7,2025-01-06,0.0380571884106967,0.03179081901907921
TSMixerX,vix3m_2007_plus,42,7,2025-02-07,0.03209464901155022,0.012651883065700531
TSMixerX,vix3m_2007_plus,42,7,2025-03-12,0.0784031368681164,0.04503566026687622
TSMixerX,vix3m_2007_plus,42,7,2025-04-11,0.2608168442006162,0.12556035816669464
TSMixerX,vix3m_2007_plus,42,7,2025-05-14,0.041318671868111986,0.03217923268675804
TSMixerX,vix3m_2007_plus,42,7,2025-06-16,0.012757425926887854,0.02246793732047081
TSMixerX,vix3m_2007_plus,42,7,2025-07-18,0.01206781999738813,0.012941325083374977
TSMixerX,vix3m_2007_plus,42,7,2025-08-19,0.014692749498742176,0.021399032324552536
TSMixerX,vix3m_2007_plus,42,7,2025-09-19,0.011087264665746981,0.014821886084973812
TSMixerX,vix3m_2007_plus,42,7,2025-10-21,0.02495279139541479,0.033403217792510986
TSMixerX,vix3m_2007_plus,42,7,2025-11-20,0.038043335684082455,0.03555180877447128
